site.ID,nativeUS,totalcount,routeID,easting,northing
101_01,Native,444,101,507455,3562118
101_02,Native,262,101,507765,3563197
101_03,Native,171,101,508686,3563197
101_04,Native,225,101,508465,3564469
101_05,Native,282,101,509149,3564153
101_06,Native,255,101,509733,3565237
101_07,Native,241,101,509102,3566562
101_08,Native,295,101,510744,3566147
101_09,Native,245,101,510123,3567779
101_10,Native,326,101,511119,3567754
101_11,Native,236,101,511325,3568072
101_12,Native,282,101,511686,3569191
102_01,Native,284,102,508468,3566481
102_02,Native,316,102,508204,3567234
102_03,Native,362,102,509715,3567276
102_04,Native,443,102,509505,3568568
102_05,Native,250,102,511065,3568389
102_06,Native,354,102,510663,3569700
102_07,Native,355,102,510288,3569872
102_08,Native,379,102,510511,3571188
102_09,Native,513,102,510705,3572574
102_10,Native,438,102,511557,3572802
102_11,Native,416,102,512084,3572892
103_01,Native,306,103,512199,3570673
103_02,Native,417,103,512734,3570779
103_03,Native,436,103,513809,3570239
103_04,Native,451,103,514608,3570262
103_05,Native,366,103,515989,3570276
103_06,Native,472,103,516611,3570213
103_07,Native,330,103,511226,3571291
103_08,Native,356,103,517366,3572924
103_09,Native,222,103,516553,3572993
103_10,Native,442,103,516963,3573260
103_11,Native,394,103,516850,3574119
103_12,Native,340,103,516329,3575610
104_01,Native,163,104,507650,3563241
104_02,Native,187,104,507727,3564495
104_03,Native,230,104,507381,3565621
104_04,Native,162,104,507967,3565803
104_05,Native,175,104,507094,3566833
104_06,Native,186,104,507327,3567382
104_07,Native,141,104,507082,3568105
104_08,Native,154,104,508648,3568445
104_09,Native,140,104,508209,3569807
104_10,Native,177,104,509244,3570810
104_11,Native,205,104,509885,3570432
105_01,Native,247,105,506601,3564099
105_02,Native,187,105,506628,3565812
105_03,Native,409,105,506111,3566305
105_04,Native,150,105,506007,3567292
105_05,Native,151,105,506176,3568962
105_06,Native,179,105,506343,3569895
105_07,Native,161,105,507851,3569441
105_08,Native,98,105,507833,3570092
105_09,Native,139,105,508463,3569969
105_10,Native,253,105,509207,3571877
105_11,Native,496,105,509430,3571323
105_12,Native,145,105,509853,3572595
105_13,Native,233,105,509912,3573294
106_01,Native,284,106,506704,3562633
106_02,Native,214,106,505772,3563189
106_03,Native,362,106,506321,3563574
106_04,Native,290,106,505164,3564705
106_05,Native,298,106,505841,3565613
106_06,Native,345,106,505972,3566295
106_07,Native,432,106,505692,3567176
106_08,Native,361,106,505955,3568060
106_09,Native,217,106,505306,3569493
106_10,Native,452,106,505607,3570413
106_11,Native,358,106,506202,3570703
106_12,Native,438,106,505886,3571625
107_01,Native,258,107,504878,3565034
107_02,Native,228,107,504000,3566755
107_03,Native,281,107,504589,3567918
107_04,Native,255,107,504428,3568242
107_05,Native,294,107,504751,3569881
107_06,Native,279,107,504128,3570690
107_07,Native,311,107,504821,3571276
107_08,Native,325,107,506704,3571772
107_09,Native,252,107,507513,3571895
107_10,Native,335,107,504132,3572290
107_11,Native,137,107,505184,3572185
107_12,Native,334,107,506178,3572739
108_01,Native,400,108,507093,3572064
108_02,Native,480,108,508518,3572682
108_03,Native,516,108,505536,3573412
108_04,Native,520,108,506155,3573506
108_05,Native,344,108,507394,3573088
108_06,Native,486,108,508993,3573907
108_07,Native,372,108,508505,3574602
108_08,Native,268,108,508128,3575608
108_09,Native,491,108,509303,3575421
108_10,Native,490,108,509449,3576718
108_11,Native,328,108,509918,3577156
108_12,Native,397,108,510166,3577478
109_01,Native,172,109,503695,3571118
109_02,Native,156,109,503569,3572351
