"decimalLatitude","decimalLongitude","family","species","year","month","day","datasetKey","gbifID"
32.127834,-110.92233,"Tyrannidae","Pyrocephalus rubinus",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2036895382"
32.127834,-110.92233,"Picidae","Dryobates scalaris",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2029824351"
32.127834,-110.92233,"Tyrannidae","Myiarchus cinerascens",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2029825466"
32.127834,-110.92233,"Emberizidae","Amphispiza bilineata",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033472970"
32.127834,-110.92233,"Fringillidae","Haemorhous mexicanus",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033468290"
32.127834,-110.92233,"Parulidae","Setophaga coronata",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2032329001"
32.127834,-110.92233,"Accipitridae","Buteo jamaicensis",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2036898404"
32.127834,-110.92233,"Trochilidae","Calypte anna",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033472977"
32.127834,-110.92233,"Mimidae","Mimus polyglottos",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033476631"
32.127834,-110.92233,"Fringillidae","Spinus psaltria",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2029823761"
32.127834,-110.92233,"Remizidae","Auriparus flaviceps",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2029824837"
32.127834,-110.92233,"Tyrannidae","Sayornis saya",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033473143"
32.127834,-110.92233,"Tyrannidae","Pyrocephalus rubinus",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033471940"
32.127834,-110.92233,"Picidae","Dryobates scalaris",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2029826723"
32.127834,-110.92233,"Tyrannidae","Myiarchus cinerascens",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2036903339"
32.127834,-110.92233,"Emberizidae","Amphispiza bilineata",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033468335"
32.127834,-110.92233,"Fringillidae","Haemorhous mexicanus",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033474912"
32.127834,-110.92233,"Parulidae","Setophaga coronata",2017,1,7,"4fa7b334-ce0d-4e88-aaae-2e0c138d049e","2033477707"
