decimalLatitude,decimalLongitude,individualCount,family,species,year,month,day,datasetName,gbifID,lifeStage
32.278685,-111.02201,NA,Hesperiidae,Systasea zampa,2022,2,20,iNaturalist research-grade observations,3698267837,NA
32.278949,-111.025124,NA,Hesperiidae,Erynnis funeralis,2022,2,20,iNaturalist research-grade observations,3698316918,NA
32.241602,-110.797835,NA,Hesperiidae,Erynnis funeralis,2022,3,4,iNaturalist research-grade observations,3712472795,NA
32.238444,-110.942069,NA,Hesperiidae,Systasea zampa,2022,4,1,iNaturalist research-grade observations,3759690643,NA
32.228272,-110.95527,NA,Hesperiidae,Lerodea eufala,2022,4,21,iNaturalist research-grade observations,3759939721,NA
32.260579,-110.908665,NA,Hesperiidae,Staphylus ceos,2022,4,17,iNaturalist research-grade observations,3760112316,NA
32.282956,-111.03237,NA,Hesperiidae,Hylephila phyleus,2022,6,11,iNaturalist research-grade observations,3860488448,NA
32.27901,-111.023767,NA,Hesperiidae,Copaeodes aurantiaca,2022,7,3,iNaturalist research-grade observations,3859117199,NA
32.27901,-111.023767,NA,Hesperiidae,Ancyloxypha arene,2022,7,3,iNaturalist research-grade observations,3859617152,NA
32.25437,-110.974177,NA,Hesperiidae,Staphylus ceos,2022,7,7,iNaturalist research-grade observations,3873297232,NA
32.209435,-110.758197,NA,Hesperiidae,Cogia hippalus,2022,7,9,iNaturalist research-grade observations,3874059562,NA
32.242245,-110.797951,NA,Hesperiidae,Cogia hippalus,2022,7,18,iNaturalist research-grade observations,3874085513,NA
32.260554,-110.871227,NA,Hesperiidae,Systasea zampa,2022,8,15,iNaturalist research-grade observations,3892463211,NA
32.231808,-110.953788,NA,Hesperiidae,Hylephila phyleus,2022,8,26,iNaturalist research-grade observations,3902911335,NA
32.244143,-110.784949,NA,Hesperiidae,Pholisora catullus,2022,8,24,iNaturalist research-grade observations,3903315637,NA
32.244143,-110.784949,NA,Hesperiidae,Pholisora catullus,2022,8,24,iNaturalist research-grade observations,3903347716,NA
32.230625,-110.918367,NA,Hesperiidae,Atrytonopsis edwardsi,2022,9,2,iNaturalist research-grade observations,3903273149,NA
32.278291,-111.026764,NA,Hesperiidae,Hylephila phyleus,2021,4,18,iNaturalist research-grade observations,3097011231,NA
32.279185,-111.02075,NA,Hesperiidae,Hylephila phyleus,2021,4,18,iNaturalist research-grade observations,3097029245,NA
32.238529,-110.960325,NA,Hesperiidae,Pyrgus scriptura,2021,4,20,iNaturalist research-grade observations,3124642417,NA
32.239833,-110.954163,NA,Hesperiidae,Hylephila phyleus,2021,5,16,iNaturalist research-grade observations,3118326053,NA
32.239863,-110.954133,NA,Hesperiidae,Hylephila phyleus,2021,5,20,iNaturalist research-grade observations,3124511565,NA
32.2421,-110.798053,NA,Hesperiidae,Hylephila phyleus,2021,5,22,iNaturalist research-grade observations,3124548968,Adult
32.240525,-110.955612,NA,Hesperiidae,Hylephila phyleus,2021,5,22,iNaturalist research-grade observations,3124804977,NA
32.239975,-110.955397,NA,Hesperiidae,Hylephila phyleus,2021,5,30,iNaturalist research-grade observations,3301950892,NA
32.173263,-110.824249,NA,Hesperiidae,Hylephila phyleus,2021,6,13,iNaturalist research-grade observations,3307196043,NA
