"OBJECTID","NAME","neighborhood_id"
466,"NEC Speedway & Kolb",1
467,"El Rio Plaza",2
468,"Los Ranchitos",3
469,"22nd and Craycroft",4
470,"El Sahuaro",5
471,"University of Arizona",6
472,"Valencia and Old Vail",7
473,"Littletown",8
474,"Wilmot Farms",9
475,"Hermosa Hills",10
476,"Rincon Heights",11
477,"Windsor Park",12
478,"Starr Pass",13
479,"Casa Loma",14
480,"Rancho Cancion",15
481,"Pueblo Gardens",16
482,"La Paloma Academy",17
483,"Richland Heights West",18
484,"Speedway and Silverbell",19
485,"Business Park of the Desert",20
486,"Sycamore Park",21
487,"College Terrace",22
488,"Barrio Nopal",23
489,"Sunset Shadows",24
490,"Davis-Monthan",25
491,"Harrison Estates",26
492,"Highland Vista Cinco Via",27
493,"Joaquin Murrieta",28
494,"Hedrick Acres",29
495,"Parkway Terrace",30
496,"Rancho Valencia",31
497,"Thunderbird Heights/Wilmot Desert Esta",32
498,"Wilmot Vista",33
499,"Villas at Hacienda Del Sol",34
500,"Catalina Vista",35
501,"Goldschmidts",36
502,"El Gheko",37
503,"Eastlawn",38
504,"University Villa",39
505,"Duffy",40
506,"McIntyre-Richey",41
507,"Casa De Carlos",42
508,"Summer Annexation District",43
509,"Dodge Flower",44
510,"Glenn-Lowell Addition",45
511,"Dos Hombres",46
512,"North Dodge",47
513,"El Principal",48
514,"Silverbell Golf Course",49
515,"Barrio Centro",50
516,"Arroyo Chico",51
517,"Wilshire Heights",52
518,"Paseo De Las Iglesias",53
519,"Eastland Heights",54
520,"Wrightstown Square",55
521,"Miramonte at the River",56
522,"Tanque Verde Trails",57
523,"Sewell",58
524,"Irvington & I-19 Commerce",59
525,"Barrio Anita",60
526,"Miles",61
527,"Automall",62
528,"Vactor Ranch",63
529,"Valencia Crossing",64
530,"Speedtano",65
531,"The Crossing",66
532,"Century Park",67
533,"Best Mailing List",68
534,"Lincoln Green",69
535,"Seneca Terrace",70
536,"El Cortez",71
537,"Wilshire Terrace",72
538,"Airport Commerce Center",73
539,"Vista Del Rio",74
540,"Santa Cruz Southwest",75
541,"Vista Del Sahuaro",76
542,"Rincon Knolls",77
543,"St. Joseph's Hospital",78
544,"Colonia Del Valle",79
545,"Coyote Corridor East",80
546,"Desert Willow Ranch",81
547,"Valencia Reserve",82
548,"Naylor",83
549,"Aldea Linda",84
550,"Fort Lowell Estates",85
551,"Miraflores Estates",86
552,"Tierra Vista",87
553,"Catalina Vista/Blenman-Elm",88
554,"Estes Park",89
555,"Harlan Heights",90
556,"Rillito Park",91
557,"Broadway Pantano East",92
558,"Broadway East",93
559,"Agro Farms",94
560,"Paseo Estrella",95
561,"Rosemont East",96
562,"Elvira",97
563,"El Dorado Medical Offices",98
564,"Saguaro Vista Shopping Center",99
565,"Green Acres",100
566,"Keeling",101
567,"Houghton and Tanque Verde",102
568,"Aerospace Parkway",103
569,"Colonia Del Rio",104
570,"Fairgrounds",105
571,"Clarke Park",106
572,"Rieckers",107
573,"El Dorado Square",108
574,"Tanque Verde and Indian Ruins",109
575,"Roger Park",110
576,"Las Solinas",111
577,"Winterhaven Annex",112
578,"Tanque Verde Creek",113
579,"Fairview",114
580,"Pima West",115
581,"Doolen-Fruitvale",116
582,"Woodland Villas",117
583,"Sunnyside",118
584,"National City Northwest",119
585,"Barrio Santa Cruz",120
586,"Houghton South",121
587,"La Playa Caliente",122
588,"Menlo Park",123
589,"Creekside",124
590,"Terra Del Sol",125
591,"Glenn Heights",126
592,"Rainbow Vista Estates Annex",127
593,"Michiana",128
594,"Williams Center",129
595,"McCormick",130
596,"Pima Verde West",131
597,"International Business Center",132
598,"Colonia Allegre",133
599,"Groves Lincoln Park",134
600,"Blenman-Elm",135
601,"El Encanto",136
602,"Pantano Park",137
603,"Miracle Manor",138
604,"Halcyon Acres",139
605,"Tucson Medical Center",140
606,"Wilmot",141
607,"Far Horizons",142
