"","siteID","diet","totalcount","routeID","easting","northing"
"1","101_01","Aerial arthropods",19,101,507455,3562118
"2","101_01","Ground arthropods",161,101,507455,3562118
"3","101_01","Nectar",4,101,507455,3562118
"4","101_01","Omnivorous",54,101,507455,3562118
"5","101_01","Foliage arthropods",4,101,507455,3562118
"6","101_01","Trunk arthropods",9,101,507455,3562118
"7","101_01","Vertebrates",5,101,507455,3562118
"8","101_01","Seeds",407,101,507455,3562118
"9","101_02","Foliage arthropods",5,101,507765,3563197
"10","101_02","Nectar",16,101,507765,3563197
"11","101_02","Omnivorous",38,101,507765,3563197
"12","101_02","Seeds",305,101,507765,3563197
"13","101_02","Trunk arthropods",18,101,507765,3563197
"14","101_02","Vertebrates",1,101,507765,3563197
"15","101_02","Ground arthropods",35,101,507765,3563197
"16","101_03","Aerial arthropods",8,101,508686,3563197
"17","101_03","Foliage arthropods",11,101,508686,3563197
"18","101_03","Ground arthropods",13,101,508686,3563197
"19","101_03","Omnivorous",20,101,508686,3563197
"20","101_03","Seeds",254,101,508686,3563197
"21","101_03","Trunk arthropods",9,101,508686,3563197
"22","101_03","Nectar",13,101,508686,3563197
"23","101_03","Vertebrates",4,101,508686,3563197
"24","101_04","Foliage arthropods",7,101,508465,3564469
"25","101_04","Fruits",1,101,508465,3564469
"26","101_04","Ground arthropods",67,101,508465,3564469
"27","101_04","Nectar",8,101,508465,3564469
"28","101_04","Omnivorous",55,101,508465,3564469
"29","101_04","Seeds",194,101,508465,3564469
"30","101_04","Trunk arthropods",12,101,508465,3564469
"31","101_04","Vertebrates",3,101,508465,3564469
"32","101_04","Aerial arthropods",9,101,508465,3564469
"33","101_05","Foliage arthropods",9,101,509149,3564153
"34","101_05","Fruits",2,101,509149,3564153
"35","101_05","Ground arthropods",38,101,509149,3564153
"36","101_05","Aerial arthropods",5,101,509149,3564153
"37","101_05","Omnivorous",27,101,509149,3564153
"38","101_05","Seeds",424,101,509149,3564153
"39","101_05","Trunk arthropods",18,101,509149,3564153
"40","101_05","Nectar",2,101,509149,3564153
"41","101_06","Foliage arthropods",4,101,509733,3565237
"42","101_06","Nectar",5,101,509733,3565237
"43","101_06","Omnivorous",24,101,509733,3565237
"44","101_06","Seeds",334,101,509733,3565237
"45","101_06","Ground arthropods",18,101,509733,3565237
"46","101_06","Trunk arthropods",26,101,509733,3565237
"47","101_07","Foliage arthropods",2,101,509102,3566562
"48","101_07","Ground arthropods",33,101,509102,3566562
"49","101_07","Nectar",2,101,509102,3566562
"50","101_07","Seeds",384,101,509102,3566562
"51","101_07","Trunk arthropods",20,101,509102,3566562
"52","101_07","Omnivorous",30,101,509102,3566562
"53","101_08","Aerial arthropods",2,101,510744,3566147
"54","101_08","Foliage arthropods",4,101,510744,3566147
"55","101_08","Nectar",2,101,510744,3566147
"56","101_08","Omnivorous",21,101,510744,3566147
"57","101_08","Seeds",425,101,510744,3566147
"58","101_08","Ground arthropods",18,101,510744,3566147
"59","101_08","Vertebrates",3,101,510744,3566147
"60","101_08","Trunk arthropods",21,101,510744,3566147
"61","101_09","Foliage arthropods",2,101,510123,3567779
"62","101_09","Ground arthropods",37,101,510123,3567779
"63","101_09","Omnivorous",26,101,510123,3567779
"64","101_09","Seeds",461,101,510123,3567779
"65","101_09","Trunk arthropods",17,101,510123,3567779
"66","101_09","Vertebrates",2,101,510123,3567779
"67","101_09","Nectar",3,101,510123,3567779
"68","101_10","Aerial arthropods",3,101,511119,3567754
"69","101_10","Foliage arthropods",4,101,511119,3567754
"70","101_10","Ground arthropods",20,101,511119,3567754
"71","101_10","Nectar",4,101,511119,3567754
"72","101_10","Omnivorous",21,101,511119,3567754
"73","101_10","Fruits",4,101,511119,3567754
"74","101_10","Trunk arthropods",27,101,511119,3567754
"75","101_10","Vertebrates",1,101,511119,3567754
"76","101_10","Seeds",365,101,511119,3567754
"77","101_11","Foliage arthropods",3,101,511325,3568072
"78","101_11","Nectar",7,101,511325,3568072
"79","101_11","Omnivorous",11,101,511325,3568072
"80","101_11","Seeds",290,101,511325,3568072
"81","101_11","Trunk arthropods",3,101,511325,3568072
"82","101_11","Vertebrates",7,101,511325,3568072
"83","101_11","Ground arthropods",7,101,511325,3568072
"84","101_12","Aerial arthropods",1,101,511686,3569191
"85","101_12","Foliage arthropods",2,101,511686,3569191
"86","101_12","Ground arthropods",86,101,511686,3569191
"87","101_12","Omnivorous",16,101,511686,3569191
"88","101_12","Seeds",333,101,511686,3569191
"89","101_12","Trunk arthropods",19,101,511686,3569191
"90","101_12","Nectar",4,101,511686,3569191
"91","102_01","Foliage arthropods",16,102,508468,3566481
"92","102_01","Ground arthropods",4,102,508468,3566481
"93","102_01","Nectar",3,102,508468,3566481
"94","102_01","Omnivorous",27,102,508468,3566481
"95","102_01","Seeds",472,102,508468,3566481
"96","102_01","Trunk arthropods",18,102,508468,3566481
"97","102_01","Aerial arthropods",3,102,508468,3566481
"98","102_02","Foliage arthropods",2,102,508204,3567234
"99","102_02","Ground arthropods",32,102,508204,3567234
"100","102_02","Omnivorous",29,102,508204,3567234
"101","102_02","Seeds",744,102,508204,3567234
"102","102_02","Trunk arthropods",26,102,508204,3567234
"103","102_02","Nectar",1,102,508204,3567234
"104","102_02","Vertebrates",1,102,508204,3567234
"105","102_03","Foliage arthropods",6,102,509715,3567276
"106","102_03","Fruits",1,102,509715,3567276
"107","102_03","Ground arthropods",32,102,509715,3567276
"108","102_03","Nectar",1,102,509715,3567276
"109","102_03","Omnivorous",26,102,509715,3567276
"110","102_03","Seeds",529,102,509715,3567276
"111","102_03","Trunk arthropods",35,102,509715,3567276
"112","102_03","Vertebrates",10,102,509715,3567276
"113","102_03","Aerial arthropods",1,102,509715,3567276
"114","102_04","Foliage arthropods",19,102,509505,3568568
"115","102_04","Fruits",2,102,509505,3568568
"116","102_04","Ground arthropods",16,102,509505,3568568
"117","102_04","Aerial arthropods",2,102,509505,3568568
"118","102_04","Omnivorous",26,102,509505,3568568
"119","102_04","Seeds",542,102,509505,3568568
"120","102_04","Trunk arthropods",24,102,509505,3568568
"121","102_04","Vertebrates",2,102,509505,3568568
"122","102_04","Nectar",4,102,509505,3568568
"123","102_05","Foliage arthropods",12,102,511065,3568389
"124","102_05","Fruits",2,102,511065,3568389
"125","102_05","Ground arthropods",13,102,511065,3568389
"126","102_05","Aerial arthropods",2,102,511065,3568389
"127","102_05","Omnivorous",11,102,511065,3568389
"128","102_05","Seeds",297,102,511065,3568389
"129","102_05","Trunk arthropods",18,102,511065,3568389
"130","102_05","Nectar",2,102,511065,3568389
"131","102_05","Vertebrates",1,102,511065,3568389
"132","102_06","Foliage arthropods",37,102,510663,3569700
"133","102_06","Fruits",3,102,510663,3569700
"134","102_06","Ground arthropods",31,102,510663,3569700
"135","102_06","Aerial arthropods",5,102,510663,3569700
"136","102_06","Omnivorous",35,102,510663,3569700
"137","102_06","Seeds",282,102,510663,3569700
"138","102_06","Trunk arthropods",25,102,510663,3569700
"139","102_06","Nectar",4,102,510663,3569700
"140","102_06","Vertebrates",3,102,510663,3569700
"141","102_07","Aerial arthropods",5,102,510288,3569872
"142","102_07","Foliage arthropods",19,102,510288,3569872
"143","102_07","Fruits",4,102,510288,3569872
"144","102_07","Nectar",3,102,510288,3569872
"145","102_07","Omnivorous",36,102,510288,3569872
"146","102_07","Seeds",340,102,510288,3569872
"147","102_07","Trunk arthropods",25,102,510288,3569872
"148","102_07","Vertebrates",2,102,510288,3569872
"149","102_07","Ground arthropods",35,102,510288,3569872
"150","102_08","Foliage arthropods",26,102,510511,3571188
"151","102_08","Fruits",10,102,510511,3571188
"152","102_08","Ground arthropods",7,102,510511,3571188
"153","102_08","Aerial arthropods",2,102,510511,3571188
"154","102_08","Omnivorous",6,102,510511,3571188
"155","102_08","Seeds",336,102,510511,3571188
"156","102_08","Trunk arthropods",29,102,510511,3571188
"157","102_08","Nectar",2,102,510511,3571188
"158","102_08","Vertebrates",1,102,510511,3571188
"159","102_09","Foliage arthropods",19,102,510705,3572574
"160","102_09","Fruits",5,102,510705,3572574
"161","102_09","Ground arthropods",15,102,510705,3572574
"162","102_09","Aerial arthropods",1,102,510705,3572574
"163","102_09","Omnivorous",17,102,510705,3572574
"164","102_09","Seeds",447,102,510705,3572574
"165","102_09","Trunk arthropods",24,102,510705,3572574
"166","102_09","Nectar",1,102,510705,3572574
"167","102_09","Vertebrates",2,102,510705,3572574
"168","102_10","Foliage arthropods",30,102,511557,3572802
"169","102_10","Fruits",6,102,511557,3572802
"170","102_10","Ground arthropods",9,102,511557,3572802
"171","102_10","Omnivorous",11,102,511557,3572802
"172","102_10","Seeds",370,102,511557,3572802
"173","102_10","Trunk arthropods",27,102,511557,3572802
"174","102_10","Vertebrates",1,102,511557,3572802
"175","102_10","Nectar",1,102,511557,3572802
"176","102_11","Fruits",2,102,512084,3572892
"177","102_11","Ground arthropods",14,102,512084,3572892
"178","102_11","Omnivorous",8,102,512084,3572892
"179","102_11","Foliage arthropods",16,102,512084,3572892
"180","102_11","Trunk arthropods",31,102,512084,3572892
"181","102_11","Vertebrates",4,102,512084,3572892
"182","102_11","Seeds",448,102,512084,3572892
"183","103_01","Foliage arthropods",47,103,512199,3570673
"184","103_01","Ground arthropods",12,103,512199,3570673
"185","103_01","Nectar",6,103,512199,3570673
"186","103_01","Omnivorous",4,103,512199,3570673
"187","103_01","Seeds",213,103,512199,3570673
"188","103_01","Trunk arthropods",26,103,512199,3570673
"189","103_01","Vertebrates",9,103,512199,3570673
"190","103_01","Fruits",2,103,512199,3570673
"191","103_02","Fruits",8,103,512734,3570779
"192","103_02","Ground arthropods",15,103,512734,3570779
"193","103_02","Nectar",6,103,512734,3570779
"194","103_02","Foliage arthropods",26,103,512734,3570779
"195","103_02","Seeds",331,103,512734,3570779
"196","103_02","Trunk arthropods",34,103,512734,3570779
"197","103_02","Vertebrates",1,103,512734,3570779
"198","103_02","Omnivorous",10,103,512734,3570779
"199","103_03","Foliage arthropods",52,103,513809,3570239
"200","103_03","Fruits",2,103,513809,3570239
"201","103_03","Ground arthropods",6,103,513809,3570239
"202","103_03","Nectar",6,103,513809,3570239
"203","103_03","Omnivorous",1,103,513809,3570239
"204","103_03","Seeds",360,103,513809,3570239
"205","103_03","Trunk arthropods",31,103,513809,3570239
"206","103_03","Aerial arthropods",6,103,513809,3570239
"207","103_04","Aerial arthropods",1,103,514608,3570262
"208","103_04","Fruits",9,103,514608,3570262
"209","103_04","Ground arthropods",15,103,514608,3570262
"210","103_04","Nectar",6,103,514608,3570262
"211","103_04","Foliage arthropods",48,103,514608,3570262
"212","103_04","Seeds",342,103,514608,3570262
"213","103_04","Trunk arthropods",43,103,514608,3570262
"214","103_04","Vertebrates",4,103,514608,3570262
"215","103_04","Omnivorous",13,103,514608,3570262
"216","103_05","Foliage arthropods",19,103,515989,3570276
"217","103_05","Ground arthropods",10,103,515989,3570276
"218","103_05","Nectar",4,103,515989,3570276
"219","103_05","Omnivorous",31,103,515989,3570276
"220","103_05","Fruits",4,103,515989,3570276
"221","103_05","Trunk arthropods",41,103,515989,3570276
"222","103_05","Vertebrates",2,103,515989,3570276
"223","103_05","Seeds",290,103,515989,3570276
"224","103_06","Foliage arthropods",36,103,516611,3570213
"225","103_06","Ground arthropods",20,103,516611,3570213
"226","103_06","Nectar",6,103,516611,3570213
"227","103_06","Omnivorous",12,103,516611,3570213
"228","103_06","Seeds",383,103,516611,3570213
"229","103_06","Trunk arthropods",47,103,516611,3570213
"230","103_06","Vertebrates",3,103,516611,3570213
"231","103_06","Fruits",3,103,516611,3570213
"232","103_07","Foliage arthropods",60,103,511226,3571291
"233","103_07","Fruits",2,103,511226,3571291
"234","103_07","Ground arthropods",18,103,511226,3571291
"235","103_07","Omnivorous",6,103,511226,3571291
"236","103_07","Seeds",222,103,511226,3571291
"237","103_07","Trunk arthropods",19,103,511226,3571291
"238","103_07","Nectar",3,103,511226,3571291
"239","103_07","Vertebrates",6,103,511226,3571291
"240","103_08","Foliage arthropods",13,103,517366,3572924
"241","103_08","Fruits",2,103,517366,3572924
"242","103_08","Ground arthropods",13,103,517366,3572924
"243","103_08","Aerial arthropods",5,103,517366,3572924
"244","103_08","Omnivorous",37,103,517366,3572924
"245","103_08","Seeds",274,103,517366,3572924
"246","103_08","Trunk arthropods",35,103,517366,3572924
"247","103_08","Nectar",8,103,517366,3572924
"248","103_08","Vertebrates",2,103,517366,3572924
"249","103_09","Aerial arthropods",2,103,516553,3572993
"250","103_09","Foliage arthropods",38,103,516553,3572993
"251","103_09","Fruits",3,103,516553,3572993
"252","103_09","Omnivorous",1,103,516553,3572993
"253","103_09","Seeds",144,103,516553,3572993
"254","103_09","Trunk arthropods",22,103,516553,3572993
"255","103_09","Ground arthropods",19,103,516553,3572993
"256","103_10","Aerial arthropods",1,103,516963,3573260
"257","103_10","Fruits",5,103,516963,3573260
"258","103_10","Ground arthropods",16,103,516963,3573260
"259","103_10","Nectar",6,103,516963,3573260
"260","103_10","Foliage arthropods",22,103,516963,3573260
"261","103_10","Seeds",374,103,516963,3573260
"262","103_10","Trunk arthropods",38,103,516963,3573260
"263","103_10","Vertebrates",2,103,516963,3573260
"264","103_10","Omnivorous",38,103,516963,3573260
"265","103_11","Fruits",2,103,516850,3574119
"266","103_11","Ground arthropods",35,103,516850,3574119
"267","103_11","Nectar",7,103,516850,3574119
"268","103_11","Omnivorous",6,103,516850,3574119
"269","103_11","Seeds",313,103,516850,3574119
"270","103_11","Trunk arthropods",48,103,516850,3574119
"271","103_11","Vertebrates",2,103,516850,3574119
"272","103_11","Foliage arthropods",29,103,516850,3574119
"273","103_12","Aerial arthropods",1,103,516329,3575610
"274","103_12","Foliage arthropods",62,103,516329,3575610
"275","103_12","Ground arthropods",34,103,516329,3575610
"276","103_12","Nectar",10,103,516329,3575610
"277","103_12","Omnivorous",21,103,516329,3575610
"278","103_12","Fruits",11,103,516329,3575610
"279","103_12","Trunk arthropods",8,103,516329,3575610
"280","103_12","Vertebrates",2,103,516329,3575610
"281","103_12","Seeds",203,103,516329,3575610
"282","104_01","Aerial arthropods",3,104,507650,3563241
"283","104_01","Foliage arthropods",4,104,507650,3563241
"284","104_01","Nectar",1,104,507650,3563241
"285","104_01","Omnivorous",27,104,507650,3563241
"286","104_01","Seeds",157,104,507650,3563241
"287","104_01","Ground arthropods",6,104,507650,3563241
