"","siteID","native.US","totalcount","routeID","easting","northing"
"1","101_01","Native",444,101,507455,3562118
"2","101_01","Non-native",219,101,507455,3562118
"3","101_02","Native",262,101,507765,3563197
"4","101_02","Non-native",156,101,507765,3563197
"5","101_03","Non-native",161,101,508686,3563197
"6","101_03","Native",171,101,508686,3563197
"7","101_04","Native",225,101,508465,3564469
"8","101_04","Non-native",131,101,508465,3564469
"9","101_05","Non-native",243,101,509149,3564153
"10","101_05","Native",282,101,509149,3564153
"11","101_06","Native",255,101,509733,3565237
"12","101_06","Non-native",156,101,509733,3565237
"13","101_07","Non-native",230,101,509102,3566562
"14","101_07","Native",241,101,509102,3566562
"15","101_08","Native",295,101,510744,3566147
"16","101_08","Non-native",201,101,510744,3566147
"17","101_09","Non-native",303,101,510123,3567779
"18","101_09","Native",245,101,510123,3567779
"19","101_10","Non-native",123,101,511119,3567754
"20","101_10","Native",326,101,511119,3567754
"21","101_11","Native",236,101,511325,3568072
"22","101_11","Non-native",92,101,511325,3568072
"23","101_12","Non-native",179,101,511686,3569191
"24","101_12","Native",282,101,511686,3569191
"25","102_01","Native",284,102,508468,3566481
"26","102_01","Non-native",259,102,508468,3566481
"27","102_02","Non-native",519,102,508204,3567234
"28","102_02","Native",316,102,508204,3567234
"29","102_03","Native",362,102,509715,3567276
"30","102_03","Non-native",279,102,509715,3567276
"31","102_04","Non-native",194,102,509505,3568568
"32","102_04","Native",443,102,509505,3568568
"33","102_05","Native",250,102,511065,3568389
"34","102_05","Non-native",108,102,511065,3568389
"35","102_06","Native",354,102,510663,3569700
"36","102_06","Non-native",71,102,510663,3569700
"37","102_07","Native",355,102,510288,3569872
"38","102_07","Non-native",114,102,510288,3569872
"39","102_08","Native",379,102,510511,3571188
"40","102_08","Non-native",40,102,510511,3571188
"41","102_09","Native",513,102,510705,3572574
"42","102_09","Non-native",18,102,510705,3572574
"43","102_10","Native",438,102,511557,3572802
"44","102_10","Non-native",17,102,511557,3572802
"45","102_11","Non-native",107,102,512084,3572892
"46","102_11","Native",416,102,512084,3572892
"47","103_01","Native",306,103,512199,3570673
"48","103_01","Non-native",13,103,512199,3570673
"49","103_02","Non-native",14,103,512734,3570779
"50","103_02","Native",417,103,512734,3570779
"51","103_03","Native",436,103,513809,3570239
"52","103_03","Non-native",28,103,513809,3570239
"53","103_04","Non-native",30,103,514608,3570262
"54","103_04","Native",451,103,514608,3570262
"55","103_05","Native",366,103,515989,3570276
"56","103_05","Non-native",35,103,515989,3570276
"57","103_06","Non-native",38,103,516611,3570213
"58","103_06","Native",472,103,516611,3570213
"59","103_07","Non-native",6,103,511226,3571291
"60","103_07","Native",330,103,511226,3571291
"61","103_08","Native",356,103,517366,3572924
"62","103_08","Non-native",33,103,517366,3572924
"63","103_09","Non-native",7,103,516553,3572993
"64","103_09","Native",222,103,516553,3572993
"65","103_10","Native",442,103,516963,3573260
"66","103_10","Non-native",60,103,516963,3573260
"67","103_11","Non-native",48,103,516850,3574119
"68","103_11","Native",394,103,516850,3574119
"69","103_12","Native",340,103,516329,3575610
"70","103_12","Non-native",12,103,516329,3575610
"71","104_01","Non-native",46,104,507650,3563241
"72","104_01","Native",163,104,507650,3563241
"73","104_02","Native",187,104,507727,3564495
"74","104_02","Non-native",22,104,507727,3564495
"75","104_03","Native",230,104,507381,3565621
"76","104_03","Non-native",28,104,507381,3565621
"77","104_04","Native",162,104,507967,3565803
"78","104_04","Non-native",68,104,507967,3565803
"79","104_05","Native",175,104,507094,3566833
"80","104_05","Non-native",106,104,507094,3566833
"81","104_06","Native",186,104,507327,3567382
"82","104_06","Non-native",115,104,507327,3567382
"83","104_07","Native",141,104,507082,3568105
"84","104_07","Non-native",88,104,507082,3568105
"85","104_08","Non-native",101,104,508648,3568445
"86","104_08","Native",154,104,508648,3568445
"87","104_09","Native",140,104,508209,3569807
"88","104_09","Non-native",75,104,508209,3569807
"89","104_10","Non-native",25,104,509244,3570810
"90","104_10","Native",177,104,509244,3570810
"91","104_11","Native",205,104,509885,3570432
"92","104_11","Non-native",72,104,509885,3570432
"93","105_01","Non-native",110,105,506601,3564099
"94","105_01","Native",247,105,506601,3564099
"95","105_02","Native",187,105,506628,3565812
"96","105_02","Non-native",85,105,506628,3565812
"97","105_03","Non-native",282,105,506111,3566305
"98","105_03","Native",409,105,506111,3566305
"99","105_04","Non-native",55,105,506007,3567292
"100","105_04","Native",150,105,506007,3567292
"101","105_05","Non-native",80,105,506176,3568962
"102","105_05","Native",151,105,506176,3568962
"103","105_06","Native",179,105,506343,3569895
"104","105_06","Non-native",100,105,506343,3569895
"105","105_07","Non-native",97,105,507851,3569441
"106","105_07","Native",161,105,507851,3569441
"107","105_08","Native",98,105,507833,3570092
"108","105_08","Non-native",58,105,507833,3570092
"109","105_09","Non-native",49,105,508463,3569969
"110","105_09","Native",139,105,508463,3569969
"111","105_10","Native",253,105,509207,3571877
"112","105_10","Non-native",23,105,509207,3571877
"113","105_11","Non-native",74,105,509430,3571323
"114","105_11","Native",496,105,509430,3571323
"115","105_12","Native",145,105,509853,3572595
"116","105_12","Non-native",9,105,509853,3572595
"117","105_13","Native",233,105,509912,3573294
"118","105_13","Non-native",33,105,509912,3573294
"119","106_01","Native",284,106,506704,3562633
"120","106_01","Non-native",243,106,506704,3562633
"121","106_02","Native",214,106,505772,3563189
"122","106_02","Non-native",161,106,505772,3563189
"123","106_03","Native",362,106,506321,3563574
"124","106_03","Non-native",149,106,506321,3563574
"125","106_04","Native",290,106,505164,3564705
"126","106_04","Non-native",215,106,505164,3564705
"127","106_05","Non-native",109,106,505841,3565613
"128","106_05","Native",298,106,505841,3565613
"129","106_06","Native",345,106,505972,3566295
"130","106_06","Non-native",102,106,505972,3566295
"131","106_07","Non-native",123,106,505692,3567176
"132","106_07","Native",432,106,505692,3567176
"133","106_08","Native",361,106,505955,3568060
"134","106_08","Non-native",132,106,505955,3568060
"135","106_09","Non-native",88,106,505306,3569493
"136","106_09","Native",217,106,505306,3569493
"137","106_10","Native",452,106,505607,3570413
"138","106_10","Non-native",145,106,505607,3570413
"139","106_11","Non-native",143,106,506202,3570703
"140","106_11","Native",358,106,506202,3570703
"141","106_12","Non-native",34,106,505886,3571625
"142","106_12","Native",438,106,505886,3571625
"143","107_01","Native",258,107,504878,3565034
"144","107_01","Non-native",159,107,504878,3565034
"145","107_02","Non-native",160,107,504000,3566755
"146","107_02","Native",228,107,504000,3566755
"147","107_03","Native",281,107,504589,3567918
"148","107_03","Non-native",81,107,504589,3567918
"149","107_04","Non-native",125,107,504428,3568242
"150","107_04","Native",255,107,504428,3568242
"151","107_05","Native",294,107,504751,3569881
"152","107_05","Non-native",151,107,504751,3569881
"153","107_06","Non-native",98,107,504128,3570690
"154","107_06","Native",279,107,504128,3570690
"155","107_07","Native",311,107,504821,3571276
"156","107_07","Non-native",111,107,504821,3571276
"157","107_08","Native",325,107,506704,3571772
"158","107_08","Non-native",41,107,506704,3571772
"159","107_09","Native",252,107,507513,3571895
"160","107_09","Non-native",15,107,507513,3571895
"161","107_10","Native",335,107,504132,3572290
"162","107_10","Non-native",96,107,504132,3572290
"163","107_11","Native",137,107,505184,3572185
"164","107_11","Non-native",23,107,505184,3572185
"165","107_12","Native",334,107,506178,3572739
"166","107_12","Non-native",17,107,506178,3572739
"167","108_01","Non-native",46,108,507093,3572064
"168","108_01","Native",400,108,507093,3572064
"169","108_02","Native",480,108,508518,3572682
"170","108_02","Non-native",19,108,508518,3572682
"171","108_03","Non-native",83,108,505536,3573412
"172","108_03","Native",516,108,505536,3573412
"173","108_04","Native",520,108,506155,3573506
"174","108_04","Non-native",38,108,506155,3573506
"175","108_05","Non-native",36,108,507394,3573088
"176","108_05","Native",344,108,507394,3573088
"177","108_06","Native",486,108,508993,3573907
"178","108_06","Non-native",169,108,508993,3573907
"179","108_07","Non-native",36,108,508505,3574602
