siteID,routeID,native,nonnative,total,easting,northing
101_01,101,444,219,663,507455,3562118
101_02,101,262,156,418,507765,3563197
101_03,101,171,161,332,508686,3563197
101_04,101,225,131,356,508465,3564469
101_05,101,282,243,525,509149,3564153
101_06,101,255,156,411,509733,3565237
101_07,101,241,230,471,509102,3566562
101_08,101,295,201,496,510744,3566147
101_09,101,245,303,548,510123,3567779
101_10,101,326,123,449,511119,3567754
101_11,101,236,92,328,511325,3568072
101_12,101,282,179,461,511686,3569191
102_01,102,284,259,543,508468,3566481
102_02,102,316,519,835,508204,3567234
102_03,102,362,279,641,509715,3567276
102_04,102,443,194,637,509505,3568568
102_05,102,250,108,358,511065,3568389
102_06,102,354,71,425,510663,3569700
102_07,102,355,114,469,510288,3569872
102_08,102,379,40,419,510511,3571188
102_09,102,513,18,531,510705,3572574
102_10,102,438,17,455,511557,3572802
102_11,102,416,107,523,512084,3572892
103_01,103,306,13,319,512199,3570673
103_02,103,417,14,431,512734,3570779
103_03,103,436,28,464,513809,3570239
103_04,103,451,30,481,514608,3570262
103_05,103,366,35,401,515989,3570276
103_06,103,472,38,510,516611,3570213
103_07,103,330,6,336,511226,3571291
103_08,103,356,33,389,517366,3572924
103_09,103,222,7,229,516553,3572993
103_10,103,442,60,502,516963,3573260
103_11,103,394,48,442,516850,3574119
103_12,103,340,12,352,516329,3575610
104_01,104,163,46,209,507650,3563241
104_02,104,187,22,209,507727,3564495
104_03,104,230,28,258,507381,3565621
104_04,104,162,68,230,507967,3565803
104_05,104,175,106,281,507094,3566833
104_06,104,186,115,301,507327,3567382
104_07,104,141,88,229,507082,3568105
104_08,104,154,101,255,508648,3568445
104_09,104,140,75,215,508209,3569807
104_10,104,177,25,202,509244,3570810
104_11,104,205,72,277,509885,3570432
105_01,105,247,110,357,506601,3564099
105_02,105,187,85,272,506628,3565812
105_03,105,409,282,691,506111,3566305
105_04,105,150,55,205,506007,3567292
105_05,105,151,80,231,506176,3568962
105_06,105,179,100,279,506343,3569895
105_07,105,161,97,258,507851,3569441
105_08,105,98,58,156,507833,3570092
105_09,105,139,49,188,508463,3569969
105_10,105,253,23,276,509207,3571877
105_11,105,496,74,570,509430,3571323
105_12,105,145,9,154,509853,3572595
105_13,105,233,33,266,509912,3573294
106_01,106,284,243,527,506704,3562633
106_02,106,214,161,375,505772,3563189
106_03,106,362,149,511,506321,3563574
106_04,106,290,215,505,505164,3564705
106_05,106,298,109,407,505841,3565613
