"","siteID","n","routeID","easting","northing"
"1","101_01",26,101,507455,3562118
"2","101_02",18,101,507765,3563197
"3","101_03",26,101,508686,3563197
"4","101_04",27,101,508465,3564469
"5","101_05",22,101,509149,3564153
"6","101_06",17,101,509733,3565237
"7","101_07",15,101,509102,3566562
"8","101_08",21,101,510744,3566147
"9","101_09",17,101,510123,3567779
"10","101_10",22,101,511119,3567754
"11","101_11",15,101,511325,3568072
"12","101_12",21,101,511686,3569191
"13","102_01",24,102,508468,3566481
"14","102_02",21,102,508204,3567234
"15","102_03",22,102,509715,3567276
"16","102_04",25,102,509505,3568568
"17","102_05",28,102,511065,3568389
"18","102_06",35,102,510663,3569700
"19","102_07",26,102,510288,3569872
"20","102_08",22,102,510511,3571188
"21","102_09",25,102,510705,3572574
"22","102_10",23,102,511557,3572802
"23","102_11",22,102,512084,3572892
"24","103_01",26,103,512199,3570673
"25","103_02",23,103,512734,3570779
"26","103_03",23,103,513809,3570239
"27","103_04",27,103,514608,3570262
"28","103_05",21,103,515989,3570276
"29","103_06",24,103,516611,3570213
"30","103_07",24,103,511226,3571291
"31","103_08",26,103,517366,3572924
"32","103_09",19,103,516553,3572993
"33","103_10",24,103,516963,3573260
"34","103_11",23,103,516850,3574119
"35","103_12",32,103,516329,3575610
"36","104_01",19,104,507650,3563241
"37","104_02",21,104,507727,3564495
"38","104_03",22,104,507381,3565621
"39","104_04",14,104,507967,3565803
"40","104_05",17,104,507094,3566833
"41","104_06",18,104,507327,3567382
"42","104_07",17,104,507082,3568105
"43","104_08",16,104,508648,3568445
"44","104_09",14,104,508209,3569807
"45","104_10",26,104,509244,3570810
"46","104_11",24,104,509885,3570432
"47","105_01",31,105,506601,3564099
"48","105_02",19,105,506628,3565812
"49","105_03",18,105,506111,3566305
"50","105_04",18,105,506007,3567292
"51","105_05",13,105,506176,3568962
"52","105_06",18,105,506343,3569895
"53","105_07",20,105,507851,3569441
"54","105_08",18,105,507833,3570092
"55","105_09",21,105,508463,3569969
"56","105_10",23,105,509207,3571877
"57","105_11",28,105,509430,3571323
"58","105_12",13,105,509853,3572595
"59","105_13",19,105,509912,3573294
"60","106_01",17,106,506704,3562633
"61","106_02",21,106,505772,3563189
"62","106_03",22,106,506321,3563574
"63","106_04",27,106,505164,3564705
"64","106_05",24,106,505841,3565613
"65","106_06",28,106,505972,3566295
"66","106_07",25,106,505692,3567176
"67","106_08",23,106,505955,3568060
"68","106_09",20,106,505306,3569493
"69","106_10",24,106,505607,3570413
"70","106_11",19,106,506202,3570703
"71","106_12",29,106,505886,3571625
"72","107_01",20,107,504878,3565034
"73","107_02",21,107,504000,3566755
"74","107_03",23,107,504589,3567918
"75","107_04",19,107,504428,3568242
"76","107_05",27,107,504751,3569881
"77","107_06",21,107,504128,3570690
"78","107_07",32,107,504821,3571276
"79","107_08",36,107,506704,3571772
"80","107_09",25,107,507513,3571895
"81","107_10",42,107,504132,3572290
"82","107_11",14,107,505184,3572185
